Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2011-01-12,Manhattan,Yellow Taxi,331863,2011,1,12,Winter,Wed,1
2011-01-12,Staten Island,Yellow Taxi,7,2011,1,12,Winter,Wed,1
2011-01-12,EWR,Yellow Taxi,2,2011,1,12,Winter,Wed,1
2011-01-12,Brooklyn,Yellow Taxi,4904,2011,1,12,Winter,Wed,1
2011-01-12,Bronx,Yellow Taxi,441,2011,1,12,Winter,Wed,1
2011-01-13,Brooklyn,Yellow Taxi,7368,2011,1,13,Winter,Thu,1
2011-01-13,Bronx,Yellow Taxi,390,2011,1,13,Winter,Thu,1
2011-01-13,EWR,Yellow Taxi,8,2011,1,13,Winter,Thu,1
2011-01-13,Manhattan,Yellow Taxi,444461,2011,1,13,Winter,Thu,1
2011-01-13,Queens,Yellow Taxi,20348,2011,1,13,Winter,Thu,1
2011-01-13,Staten Island,Yellow Taxi,23,2011,1,13,Winter,Thu,1
2011-01-14,Brooklyn,Yellow Taxi,9080,2011,1,14,Winter,Fri,1
2011-01-14,EWR,Yellow Taxi,6,2011,1,14,Winter,Fri,1
2011-01-14,Bronx,Yellow Taxi,458,2011,1,14,Winter,Fri,1
2011-01-14,Queens,Yellow Taxi,21096,2011,1,14,Winter,Fri,1
2011-01-14,Manhattan,Yellow Taxi,465520,2011,1,14,Winter,Fri,1
2011-01-14,Staten Island,Yellow Taxi,30,2011,1,14,Winter,Fri,1
2011-01-15,Manhattan,Yellow Taxi,438347,2011,1,15,Winter,Sat,0
2011-01-15,Staten Island,Yellow Taxi,12,2011,1,15,Winter,Sat,0
2011-01-15,Brooklyn,Yellow Taxi,13682,2011,1,15,Winter,Sat,0
2011-01-15,Queens,Yellow Taxi,17112,2011,1,15,Winter,Sat,0
2011-01-15,EWR,Yellow Taxi,4,2011,1,15,Winter,Sat,0
2011-01-15,Bronx,Yellow Taxi,552,2011,1,15,Winter,Sat,0
2011-01-16,Manhattan,Yellow Taxi,398833,2011,1,16,Winter,Sun,0
2011-01-16,Brooklyn,Yellow Taxi,13303,2011,1,16,Winter,Sun,0
2011-01-16,Queens,Yellow Taxi,18939,2011,1,16,Winter,Sun,0
2011-01-16,Staten Island,Yellow Taxi,9,2011,1,16,Winter,Sun,0
2011-01-16,Bronx,Yellow Taxi,474,2011,1,16,Winter,Sun,0
2011-01-16,EWR,Yellow Taxi,3,2011,1,16,Winter,Sun,0
2011-01-17,EWR,Yellow Taxi,3,2011,1,17,Winter,Mon,1
2011-01-17,Staten Island,Yellow Taxi,30,2011,1,17,Winter,Mon,1
2011-01-17,Queens,Yellow Taxi,22530,2011,1,17,Winter,Mon,1
2011-01-17,Manhattan,Yellow Taxi,343506,2011,1,17,Winter,Mon,1
2011-01-17,Bronx,Yellow Taxi,419,2011,1,17,Winter,Mon,1
2011-01-17,Brooklyn,Yellow Taxi,6742,2011,1,17,Winter,Mon,1
2011-01-18,EWR,Yellow Taxi,4,2011,1,18,Winter,Tue,1
2011-01-18,Bronx,Yellow Taxi,616,2011,1,18,Winter,Tue,1
2011-01-18,Staten Island,Yellow Taxi,43,2011,1,18,Winter,Tue,1
2011-01-18,Queens,Yellow Taxi,21107,2011,1,18,Winter,Tue,1
2011-01-18,Brooklyn,Yellow Taxi,5667,2011,1,18,Winter,Tue,1
2011-01-18,Manhattan,Yellow Taxi,399899,2011,1,18,Winter,Tue,1
2011-01-19,Staten Island,Yellow Taxi,15,2011,1,19,Winter,Wed,1
2011-01-19,Manhattan,Yellow Taxi,433408,2011,1,19,Winter,Wed,1
2011-01-19,Bronx,Yellow Taxi,441,2011,1,19,Winter,Wed,1
2011-01-19,EWR,Yellow Taxi,4,2011,1,19,Winter,Wed,1
2011-01-19,Queens,Yellow Taxi,20342,2011,1,19,Winter,Wed,1
2011-01-19,Brooklyn,Yellow Taxi,6831,2011,1,19,Winter,Wed,1
2011-01-20,Brooklyn,Yellow Taxi,7401,2011,1,20,Winter,Thu,1
2011-01-20,EWR,Yellow Taxi,7,2011,1,20,Winter,Thu,1
2011-01-20,Manhattan,Yellow Taxi,456248,2011,1,20,Winter,Thu,1
2011-01-20,Bronx,Yellow Taxi,464,2011,1,20,Winter,Thu,1
2011-01-20,Staten Island,Yellow Taxi,15,2011,1,20,Winter,Thu,1
2011-01-20,Queens,Yellow Taxi,20735,2011,1,20,Winter,Thu,1
2011-01-21,Staten Island,Yellow Taxi,14,2011,1,21,Winter,Fri,1
