Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2020-01-11,Queens,FHVHV Taxi,129264,2020,1,11,Winter,Sat,0
2020-01-12,Brooklyn,FHVHV Taxi,186823,2020,1,12,Winter,Sun,0
2020-01-12,Queens,FHVHV Taxi,118556,2020,1,12,Winter,Sun,0
2020-01-12,EWR,FHVHV Taxi,30,2020,1,12,Winter,Sun,0
2020-01-12,Staten Island,FHVHV Taxi,6788,2020,1,12,Winter,Sun,0
2020-01-12,Manhattan,FHVHV Taxi,267802,2020,1,12,Winter,Sun,0
2020-01-12,Bronx,FHVHV Taxi,72207,2020,1,12,Winter,Sun,0
2020-01-13,Staten Island,FHVHV Taxi,6791,2020,1,13,Winter,Mon,1
2020-01-13,Queens,FHVHV Taxi,107054,2020,1,13,Winter,Mon,1
2020-01-13,Brooklyn,FHVHV Taxi,142956,2020,1,13,Winter,Mon,1
2020-01-13,Bronx,FHVHV Taxi,68541,2020,1,13,Winter,Mon,1
2020-01-13,EWR,FHVHV Taxi,27,2020,1,13,Winter,Mon,1
2020-01-13,Manhattan,FHVHV Taxi,256596,2020,1,13,Winter,Mon,1
2020-01-14,Staten Island,FHVHV Taxi,6813,2020,1,14,Winter,Tue,1
2020-01-14,Queens,FHVHV Taxi,100642,2020,1,14,Winter,Tue,1
2020-01-14,EWR,FHVHV Taxi,28,2020,1,14,Winter,Tue,1
2020-01-14,Manhattan,FHVHV Taxi,262888,2020,1,14,Winter,Tue,1
2020-01-14,Brooklyn,FHVHV Taxi,146308,2020,1,14,Winter,Tue,1
2020-01-14,Bronx,FHVHV Taxi,67148,2020,1,14,Winter,Tue,1
2020-01-15,EWR,FHVHV Taxi,19,2020,1,15,Winter,Wed,1
2020-01-15,Staten Island,FHVHV Taxi,6833,2020,1,15,Winter,Wed,1
2020-01-15,Queens,FHVHV Taxi,101592,2020,1,15,Winter,Wed,1
2020-01-15,Brooklyn,FHVHV Taxi,148498,2020,1,15,Winter,Wed,1
2020-01-15,Bronx,FHVHV Taxi,68050,2020,1,15,Winter,Wed,1
2020-01-15,Manhattan,FHVHV Taxi,254578,2020,1,15,Winter,Wed,1
2020-01-16,Manhattan,FHVHV Taxi,283559,2020,1,16,Winter,Thu,1
2020-01-16,Staten Island,FHVHV Taxi,7595,2020,1,16,Winter,Thu,1
2020-01-16,EWR,FHVHV Taxi,23,2020,1,16,Winter,Thu,1
2020-01-16,Brooklyn,FHVHV Taxi,166298,2020,1,16,Winter,Thu,1
2020-01-16,Queens,FHVHV Taxi,112433,2020,1,16,Winter,Thu,1
2020-01-16,Bronx,FHVHV Taxi,75303,2020,1,16,Winter,Thu,1
2020-01-17,Staten Island,FHVHV Taxi,9361,2020,1,17,Winter,Fri,1
2020-01-17,Brooklyn,FHVHV Taxi,204859,2020,1,17,Winter,Fri,1
2020-01-17,EWR,FHVHV Taxi,18,2020,1,17,Winter,Fri,1
2020-01-17,Manhattan,FHVHV Taxi,329954,2020,1,17,Winter,Fri,1
2020-01-17,Bronx,FHVHV Taxi,92221,2020,1,17,Winter,Fri,1
2020-01-17,Queens,FHVHV Taxi,139693,2020,1,17,Winter,Fri,1
2020-01-18,Queens,FHVHV Taxi,132934,2020,1,18,Winter,Sat,0
2020-01-18,EWR,FHVHV Taxi,17,2020,1,18,Winter,Sat,0
2020-01-18,Brooklyn,FHVHV Taxi,226923,2020,1,18,Winter,Sat,0
2020-01-18,Manhattan,FHVHV Taxi,336365,2020,1,18,Winter,Sat,0
2020-01-18,Bronx,FHVHV Taxi,82951,2020,1,18,Winter,Sat,0
2020-01-18,Staten Island,FHVHV Taxi,8593,2020,1,18,Winter,Sat,0
2020-01-19,Bronx,FHVHV Taxi,75418,2020,1,19,Winter,Sun,0
2020-01-19,Queens,FHVHV Taxi,119657,2020,1,19,Winter,Sun,0
2020-01-19,Brooklyn,FHVHV Taxi,201827,2020,1,19,Winter,Sun,0
2020-01-19,Manhattan,FHVHV Taxi,291055,2020,1,19,Winter,Sun,0
2020-01-19,EWR,FHVHV Taxi,30,2020,1,19,Winter,Sun,0
2020-01-19,Staten Island,FHVHV Taxi,7126,2020,1,19,Winter,Sun,0
2020-01-20,EWR,FHVHV Taxi,55,2020,1,20,Winter,Mon,1
2020-01-20,Brooklyn,FHVHV Taxi,158360,2020,1,20,Winter,Mon,1
2020-01-20,Queens,FHVHV Taxi,111293,2020,1,20,Winter,Mon,1
2020-01-20,Manhattan,FHVHV Taxi,236521,2020,1,20,Winter,Mon,1
2020-01-20,Staten Island,FHVHV Taxi,6195,2020,1,20,Winter,Mon,1
2020-01-20,Bronx,FHVHV Taxi,63038,2020,1,20,Winter,Mon,1
2020-01-21,Brooklyn,FHVHV Taxi,155034,2020,1,21,Winter,Tue,1
2020-01-21,Staten Island,FHVHV Taxi,7469,2020,1,21,Winter,Tue,1
2020-01-21,Queens,FHVHV Taxi,115257,2020,1,21,Winter,Tue,1
2020-01-21,Bronx,FHVHV Taxi,75049,2020,1,21,Winter,Tue,1
2020-01-21,Manhattan,FHVHV Taxi,262998,2020,1,21,Winter,Tue,1
2020-01-21,EWR,FHVHV Taxi,33,2020,1,21,Winter,Tue,1
2020-01-22,Bronx,FHVHV Taxi,73986,2020,1,22,Winter,Wed,1
2020-01-22,Manhattan,FHVHV Taxi,273181,2020,1,22,Winter,Wed,1
2020-01-22,EWR,FHVHV Taxi,14,2020,1,22,Winter,Wed,1
2020-01-22,Brooklyn,FHVHV Taxi,155688,2020,1,22,Winter,Wed,1
2020-01-22,Queens,FHVHV Taxi,110813,2020,1,22,Winter,Wed,1
2020-01-22,Staten Island,FHVHV Taxi,7204,2020,1,22,Winter,Wed,1
2020-01-23,Bronx,FHVHV Taxi,76579,2020,1,23,Winter,Thu,1
2020-01-23,Brooklyn,FHVHV Taxi,163053,2020,1,23,Winter,Thu,1
2020-01-23,Manhattan,FHVHV Taxi,286262,2020,1,23,Winter,Thu,1
